corp_name,stock_code,corp_code
저스템,417840,01383229
티엘비,356860,00920379
한국캐피탈,023760,00149594
엄지하우스,224810,00607797
앙츠,267810,01187865
비트컴퓨터,032850,00231707
현대글로비스,086280,00360595
현대퓨처넷,126560,00403632
스튜디오삼익,415380,01540815
쏠리드,050890,00364403
피에스케이홀딩스,031980,00208444
한성기업,003680,00161860
메쎄이상,408920,01596656
셀트리온헬스케어,091990,00554024
현대백화점,069960,00428251
신라교역,004970,00135962
뉴로메카,348340,01336461
버킷스튜디오,066410,00378220
비에이치,090460,00447609
금양,001570,00106119
대성홀딩스,016710,00108940
하나금융20호기업인수목적,400560,01583397
IBKS제24호스팩,469480,01792791
마이크로컨텍솔,098120,00568188
영원무역홀딩스,009970,00140964
원텍,216280,00311270
HD현대에너지솔루션,322000,01199550
오킨스전자,080580,00543107
현대공업,170030,00164502
명진홀딩스,267060,01190513
현대그린푸드,453340,01721809
세아베스틸지주,001430,00106669
아주IB투자,027360,00156895
CMG제약,058820,00380429
코람코라이프인프라리츠,357120,01430475
뉴아세아,013340,00138695
케이카,381970,01323032
명신산업,009900,00173078
코난테크놀로지,402030,00601988
평화산업,090080,00573579
이크레더블,092130,00634728
케이탑리츠,145270,00861076
윈하이텍,192390,00910840
대림제지,017650,00109781
코원플레이,056000,00361266
비엔디생활건강,215050,01055317
뷰노,338220,01344202
영원무역,111770,00776820
서플러스글로벌,140070,00599285
아이센스,099190,00550994
에코프로에이치엔,383310,01566248
리드코프,012700,00117708
아이엠티,451220,01546101
듀오백,073190,00407771
디앤디플랫폼리츠,377190,01475609
영보화학,014440,00140779
삼성머스트기업인수목적5호,380320,01534522
파라텍,033540,00105138
라이프사이언스테크놀로지,285770,01187175
아셈스,136410,00922304
위드텍,348350,00925587
금양그린파워,282720,00872656
이스타코,015020,00134565
삼보산업,009620,00125822
동우팜투테이블,088910,00228712
와이엠,007530,00140858
교보15호스팩,465320,01781847
와이바이오로직스,338840,01226234
현대힘스,460930,00667373
바이오시네틱스,281310,01186671
신영와코루,005800,00136624
노바텍,285490,01259232
하나제약,293480,00248974
우리손에프앤지,073560,00413417
피케이엘,039870,00222213
KB제29호스팩,478390,01816268
포시에스,189690,00939942
모베이스,101330,00498001
티엔아이,066350,00397243
네이블,153460,00842585
머니무브,179720,00978075
대명에너지,389260,01150515
CJ프레시웨이,051500,00127954
마스턴프리미어리츠,357430,01442966
휴럼,284420,01148909
녹원씨엔아이,065560,00393469
메타랩스,090370,00442835
오스템임플란트,048260,00341916
오성첨단소재,052420,00350048
원포유,122830,00337296
이원컴포텍,088290,00409140
대모,317850,00450995
구영테크,053270,00202060
HL D&I,014790,00161116
라온피플,300120,01251489
알서포트,131370,00838962
에이치브이엠,295310,01011368
세븐코스프,017160,00103121
고제,002540,00103325
케이비아이동국실업,001620,00114765
에이피알,278470,01190568
한솔아이원스,114810,00625942
기린,006070,00106508
남한제지,001950,00107923
에스케이머티리얼즈,036490,00110051
에이엠에스,044770,00264103
아이비진,039060,00264839
성우하이텍,015750,00132992
태경산업,015890,00153339
제이티,089790,00365457
디에이테크놀로지,196490,00660121
카카오게임즈,293490,01137383
시지트로닉스,429270,01284751
IBKS제23호스팩,467930,01785700
한국제11호기업인수목적,436610,01672114
차이커뮤니케이션,351870,00909835
알루코,001780,00117027
한국지주,009760,00159874
대웅바이오,016890,00111829
신동방CP,004660,00115427
동신제약,006600,00116499
엔케이맥스,262760,01212383
에스트래픽,234300,01014055
SK이터닉스,475150,01817081
브이엠,089970,00544577
하나33호스팩,475250,01807729
NHN벅스,104200,00645089
롯데푸드,002270,00120508
네오퍼플,028090,00121251
삼양엔텍,008720,00127024
사조해표,079660,00503899
대신정보통신,020180,00110875
노을,376930,01494118
삼양제넥스,003940,00132105
선진지주,014300,00132114
캐로스,260490,01018167
쎄라텍,041550,00138376
알루코,021570,00139418
동국제강,460860,01765265
아세아페이퍼텍,009380,00149248
중앙제지,005600,00149840
에스와이,004530,00151252
휴네시온,290270,01251577
이베스트스팩6호,478110,01815764
메리츠증권,008560,00163682
에스트라,016570,00154392
아스트,067390,00409681
교보16호스팩,482520,01845701
엔피케이,048830,00108490
진흥기업,002780,00150828
SK하이닉스,000660,00164779
에스엠,041510,00260930
한솔홀딩스,004150,00171636
한국정보인증,053300,00306454
SK,034730,00181712
JW홀딩스,096760,00632304
녹십자셀,031390,00198378
로지시스,067730,00238199
예림당,036000,00259934
한국제지,002300,00159412
한일약품공업,003040,00163044
동원데어리푸드,003900,00164292
성우몰드,053440,00208301
예일바이오텍,054250,00220446
미래자원엠엘,233190,00653112
효성 ITX,094280,00414850
코썬바이오,204990,00874195
하나금융24호기업인수목적,430230,01658266
아이진,185490,00945457
신한알파리츠,293940,01276594
디오,039840,00115931
에이프로,262260,00604268
젬,248020,01169498
제이엠피,054790,00234449
모아라이프플러스,142760,00587925
뉴보텍,060260,00351375
씨모스,037600,00247939
이에스산업,241510,01119387
SGA솔루션즈,184230,00988364
화신정공,126640,00825223
시알홀딩스,000480,00148984
나이스디앤비,130580,00606293
유안타제15호스팩,473050,01798980
인바이오젠,101140,00652423
코리언일랙트로닉스파워소스,046810,00252658
삼영무역,002810,00127167
원바이오젠,278380,01138993
사람인,143240,00857480
레뷰코퍼레이션,443250,01468061
경보제약,214390,00101664
드림라인,035430,00249034
한진칼,180640,00983040
프레스티지바이오파마,950210,01510489
에스엠비나,299670,01203507
티디에스팜,464280,01232192
케이씨,029460,00209780
엘앤씨바이오,290650,01181515
대산F&B,065150,00390860
동국생명과학,303810,01233465
한텍,098070,00404941
CJ ENM,035760,00265324
비즈니스온커뮤니케이션,138580,01014657
오름테라퓨틱,475830,01658831
공구우먼,366030,01307335
프리엠스,053160,00352064
아진카인텍,011400,00173069
플럼라인생명과학,222670,01063237
신성델타테크,065350,00136226
우리벤처파트너스,298870,00682992
링세오코리아,003050,00110547
태웅로직스,124560,00562245
바이브컴퍼니,301300,00403793
올릭스,226950,01113718
제이앤케이인더스트리,039230,00295370
케이아이엔엑스,093320,00603348
우리바이오,082850,00369107
키움제7호기업인수목적,433530,01667592
에스엠씨지,460870,01142260
지엔코,065060,00258102
아진전자부품,009320,00111689
KC코트렐,119650,00797364
서산,079650,00130408
이루다,164060,01142400
레드로버,060300,00364795
삼화왕관,004450,00129235
에이럭스,475580,01641600
덕산하이메탈,077360,00471068
토박스코리아,215480,01064069
큐로셀,372320,01492651
에이유브랜즈,481070,01803927
한화플러스제2호기업인수목적,386580,01572489
엣지파운드리,105550,00766106
하이브,352820,01204056
롯데손해보험,000400,00113562
호전실업,111110,00226316
신진에스엠,138070,00577380
미래에셋비전스팩4호,477380,01814233
신한제9호기업인수목적,405640,01594764
디피코,163430,01072518
트윔,290090,01217014
SKAI,357880,01381984
진양폴리우레탄,010640,00160375
현대모비스,012330,00164788
두올,016740,00119672
캠시스,050110,00330044
모니터랩,434480,01583652
메가스터디교육,215200,01074862
포스코인터내셔널,047050,00124504
삼일제약,000520,00128032
파미셀,005690,00145163
형지엘리트,093240,00441243
에피바이오텍,446440,01281541
창대정밀,368030,01467336
디비금융스팩12호,477760,01814589
바텍,043150,00264255
인바디,041830,00269922
JW생명과학,234080,00225706
GKL,114090,00557508
에이직랜드,445090,01540453
테라사이언스,073640,00373021
교보17호스팩,489210,01866528
CJ씨푸드,011150,00129013
신도리코,029530,00135795
한온시스템,018880,00161125
투비소프트,079970,00596260
아시아나항공,020560,00138792
에어부산,298690,00651901
이지케어텍,099750,00490090
신한제15호스팩,487830,01854408
교보12호기업인수목적,421800,01620713
사이냅소프트,466410,01207901
하나34호스팩,484130,01847550
명문제약,017180,00121039
에이티세미콘,089530,00458562
글로본,019660,00159731
키움제6호기업인수목적,413600,01616808
한국전력공사,015760,00159193
케이씨씨,002380,00105271
창해에탄올,004650,00123523
세아제강지주,003030,00124197
나이스정보통신,036800,00264945
KX하이텍,052900,00276834
신한카드,032710,00307897
자이에스앤디,317400,00367844
옵투스제약,131030,00831428
HD현대일렉트릭,267260,01205851
제일약품,271980,01236897
지씨셀,144510,01010642
엔에프씨,265740,01217829
에코바이브,015540,00108065
성호전자,043260,00317210
어스앤에어로스페이스,263540,00971090
서연탑메탈,019770,00153278
큐라티스,348080,01357765
팜스코,036580,00260408
스타플렉스,115570,00405959
케이비제21호기업인수목적,424140,01621280
와이즈넛,096250,00351427
동국S&C,100130,00415594
휴비스,079980,00362238
케이씨티,089150,00441447
픽셀플러스,087600,00495086
케이사인,192250,01003040
하나32호스팩,475240,01807738
삐아,451250,01283974
계룡건설산업,013580,00102432
드래곤플라이,030350,00230036
백금T&A,046310,00360036
에스비비테크,389500,00567897
비디아이,148140,00610490
SGC에너지,005090,00125150
켐트로닉스,089010,00371485
이노벡스,279060,01353848
인카금융서비스,211050,01013694
휴온스,243070,01159853
매일유업,267980,01234507
엔시스,333620,01310773
국민은행,060000,00386937
에스지헬스케어,398120,01179866
메디포스트,078160,00453929
씨에스베어링,297090,00765462
씨에스윈드,112610,00670340
삼성기업인수목적6호,425290,01624162
삼표시멘트,038500,00239639
KTis,058860,00372873
그린생명과학,114450,00532059
메디톡스,086900,00580199
삼성바이오로직스,207940,00877059
테고사이언스,191420,00926522
SK바이오사이언스,302440,01319899
계양전기,012200,00102618
나라엠앤디,051490,00297095
SGC E&C,016250,00141246
주성코퍼레이션,109070,00753643
아리온테크놀로지,058220,00441128
케이비제22호기업인수목적,436530,01672053
국영지앤엠,006050,00104537
엘에스일렉트릭,010120,00105855
원일특강,012620,00143907
SM C&C,048550,00185046
엘앤케이바이오,156100,00918222
하이비젼시스템,126700,00825959
유신,054930,00144650
초록뱀미디어,047820,00299464
디와이피엔에프,104460,00602136
카티스,140430,01116265
롯데칠성음료,005300,00120571
오공,045060,00220969
희림,037440,00236863
현대바이오,048410,00313649
에프앤가이드,064850,00331016
LG유플러스,032640,00231363
웰크론한텍,076080,00487546
CJ CGV,079160,00303873
타이거일렉,219130,00617314
케이비제26호기업인수목적,458320,01766167
우양에이치씨,101970,00450931
우전,052270,00291231
한미반도체,042700,00161383
동국산업,005160,00172680
피제이메탈,128660,00829380
국도화학,007690,00104388
캔버스엔,210120,00550082
삼영이엔씨,065570,00288343
대원제약,003220,00111999
에코캡,128540,00870481
지란지교시큐리티,208350,01047169
RFHIC,218410,01078178
심텍,222800,01095722
셀바이오휴먼텍,318160,01288410
에이에스텍,453860,01538528
조선내화,462520,01770203
금호타이어,073240,00481454
뱅크웨어글로벌,199480,01138595
선진뷰티사이언스,086710,00132202
티에스아이,277880,01139035
이엔셀,456070,01544468
모티브링크,463480,00367400
CJ대한통운,000120,00113410
한양이엔지,045100,00216762
SK증권,001510,00131850
로보스타,090360,00536523
하나머티리얼즈,166090,00660750
아이에스티이,212710,01208751
생고뱅코리아홀딩스,002000,00159005
KB제31호스팩,492220,01866926
이브이파킹서비스,419700,01695498
세아메카닉스,396300,00534701
대우건설,047040,00124540
한화플러스제3호기업인수목적,430460,01663055
현대홈쇼핑,057050,00412597
디비금융제13호스팩,489730,01857991
이즈미디어,181340,00861720
효성중공업,298040,01316245
그린리소스,402490,01370863
신한제8호기업인수목적,393360,01574760
제일엠앤에스,412540,00528791
딜리,131180,00629212
대웅,003090,00111810
애닉,299910,01259056
엠에스오토텍,123040,00259545
팡스카이,266350,01208821
한전기술,052690,00159209
윈스테크넷,136540,00868705
알톤,123750,00821607
평화홀딩스,010770,00155124
카카오,035720,00258801
오르비텍,046120,00297989
한세엠케이,069640,00357360
이닉스,452400,00338170
종근당바이오,063160,00390055
대웅제약,069620,00427483
팬엔터테인먼트,068050,00397191
하나마이크론,067310,00445054
피에스텍,002230,00155638
엔피,291230,01276901
아이씨에이치,368600,01302853
유안타제16호스팩,474490,01804476
POSCO홀딩스,005490,00155319
롯데정밀화학,004000,00157681
동일고무벨트,163560,00939687
동양고속,084670,00540641
에이플러스에셋,244920,00684802
이마트,139480,00872984
넥스트바이오메디컬,389650,01385050
씨아이에스,222080,01090471
폴라리스우노,114630,00663669
홈캐스트,064240,00385336
신세계건설,034300,00217947
케이엔알시스템,199430,00672603
코리안리,003690,00113191
비츠로테크,042370,00103644
F&F 홀딩스,007700,00126487
KZ정밀,036560,00141389
신세계I&C,035510,00219486
F&F,383220,01568413
KB발해인프라,415640,01880801
대한뉴팜,054670,00207375
동국씨엠,460850,01765256
엠앤씨솔루션,484870,01519790
오늘이엔엠,192410,00623184
아이비젼웍스,469750,01516766
엘비루셈,376190,00527011
SB성보,003080,00132725
에스케이씨에스,224020,00878517
지놈앤컴퍼니,314130,01276026
현대무벡스,319400,01358463
네패스아크,330860,01368354
웨이비스,289930,01270749
SUN&L,002820,00132211
엔켐,348370,01011526
이마트에브리데이,010090,00164308
에이프로젠,007460,00152385
유진테크놀로지,240600,01085026
디앤씨미디어,263720,01186404
셀루메드,049180,00310156
엔에스컴퍼니,224760,00929228
엘케이켐,489500,01747977
카이바이오텍,446600,01671601
대호특수강,021040,00166175
오스테오닉,226400,01082348
신한투자증권,008670,00138321
엠브레인,169330,00877174
무림P&P,009580,00119007
무림SP,001810,00121507
아이씨티케이,456010,01373709
한국기업평가,034950,00156956
텔라움,047730,00304401
디이시스,053200,00348788
무림페이퍼,009200,00136086
메타바이오메드,059210,00317681
바이오니아,064550,00326731
한스바이오메드,042520,00349060
알리코제약,260660,00447007
티앤엘,340570,00608440
나이벡,138610,00767628
옵티팜,153710,00971726
수젠텍,253840,01063954
피플바이오,304840,01118281
오상자이엘,053980,00226547
레이저옵텍,199550,01161432
STX그린로지스,465770,01784394
엔피씨,004250,00108038
휴온스글로벌,084110,00228059
케이엠,083550,00242934
두산,000150,00117212
펄어비스,263750,01152470
CS,065770,00303703
유진기업인수목적7호,388800,01569838
이노스페이스,462350,01700587
솔브레인홀딩스,036830,00247975
유안타제9호기업인수목적,430700,01663639
셀비온,308430,01275489
포인트모바일,318020,00962393
골프존클라우드,183410,00764807
하나은행,004940,00158909
스마트솔루션즈,136510,00763358
SK증권제13호스팩,473950,01801822
대림바스,005750,00109754
뉴파워프라즈마,144960,00521390
iM금융지주,139130,00878915
오스코텍,039200,00263654
HLB제넥스,187420,00983916
키움제10호스팩,487720,01877126
테이팩스,055490,00256955
삼진제약,005500,00128412
현대해상,001450,00164973
참좋은여행,094850,00606770
엔젤로보틱스,455900,01592049
에코프로,086520,00536541
파이오링크,170790,00492353
위세아이텍,065370,00374738
미래에셋비전스팩5호,477470,01817249
에스에스알,275630,01250374
프리젠,060910,00353230
EDGC,245620,01182550
수산인더스트리,126720,00193328
젠큐릭스,229000,01051472
KB금융,105560,00688996
APS,054620,00296078
에스티팜,237690,00871833
에스오에스랩,464080,01686427
아이큐어,175250,00554352
플루토스,019570,00110750
베른,322190,01412938
모토닉,009680,00151128
하이제7호기업인수목적,400840,01586172
엔에이치스팩31호,481890,01834194
대신밸런스제13호기업인수목적,438220,01675014
대신밸런스제19호스팩,482690,01845534
위츠,459100,01445440
유디엠텍,389680,01498576
풀무원,017810,00155355
오리엔트정공,065500,00300405
진양산업,003780,00150439
서울보증보험,031210,00112998
한일네트웍스,046110,00277736
화인베스틸,133820,00661847
두산로보틱스,454910,01105153
한국투자패러랠유전해외자원개발특별자산투자회사1호(지분증권),168490,00960641
제이앤티씨,204270,00447575
상신이디피,091580,00480783
아스테라시스,450950,01590528
덴티움,145720,00526599
신영해피투모로우제7호기업인수목적,419270,01612608
아이빔테크놀로지,460470,01678312
키움제11호스팩,489480,01873272
미트박스,475460,01374717
유안타제17호스팩,493790,01872219
태웅,044490,00186799
미투온,201490,00965813
케이만금세기차륜집단유한공사,900280,01168143
아주스틸,139990,00486705
엔에이치기업인수목적23호,422040,01619513
지에이이노더스,076340,00321204
화인써키트,127980,00527002
엑셀세라퓨틱스,373110,01492217
신일전자,002700,00173698
자이글,234920,01020524
케이비캐피탈,021960,00161408
동국홀딩스,001230,00114792
대동스틸,048470,00109268
신라섬유,001000,00135999
노블엠앤비,106520,00536329
티엑스알로보틱스,484810,01458161
삼성에스디에스,018260,00126186
남해화학,025860,00107987
삼양엔씨켐,482630,00863533
KT지니뮤직,043610,00223762
삼기에너지솔루션즈,419050,01526806
삼성FN리츠,448730,01688896
유진스팩11호,488060,01854392
지앤비에스 에코,382800,00958327
비유테크놀러지,230980,01110076
한국가구,004590,00156442
케이피엠테크,042040,00206686
원익홀딩스,030530,00216647
제이엠아이,033050,00222435
메디앙스,014100,00267854
크레오에스지,040350,00346407
아이지넷,462980,01728167
한화플러스제5호스팩,498390,01881800
에이디테크놀로지,200710,00657002
미래에셋생명,085620,00112332
오리콤,010470,00141671
종근당홀딩스,001630,00149354
KBI메탈,024840,00158024
코오롱,002020,00152862
NHN KCP,060250,00357740
파커스,065690,00384762
아미노로직스,074430,00466428
한익스프레스,014130,00129509
엑스게이트,356680,01372782
벡트,457600,01453944
제이씨현시스템,033320,00223513
MH에탄올,023150,00121534
탑엔지니어링,065130,00366845
삼성카드,029780,00126292
사조동아원,008040,00137252
신영스팩10호,472220,01796858
GS리테일,007070,00140177
에이치엠씨제7호스팩,477340,01813377
지누스,013890,00150633
에이스테크,088800,00556907
아시아경제,127710,00665676
제너셈,217190,00666204
제노레이,122310,00799539
엔투텍,227950,01105621
피엔에이치테크,239890,01112889
토탈소프트,045340,00355089
신스틸,162300,00958664
HS애드,035000,00140168
동아타이어공업,282690,01262458
동일기연,032960,00199076
프레스티지바이오로직스,334970,01258428
온코크로스,382150,01423916
에이텀,355690,01444380
오브젠,417860,01472930
시큐레터,418250,01579570
LS에코에너지,229640,01093007
AP시스템,265520,01203808
신한제10호기업인수목적,418210,01616482
한국피아이엠,448900,00765897
삼화네트웍스,046390,00301112
웨이버스,336060,01408999
와이제이링크,209640,01023211
포스코스틸리온,058430,00155258
포스코퓨처엠,003670,00155276
마니커,027740,00204208
세아홀딩스,058650,00377610
해성디에스,195870,01032413
HS효성첨단소재,298050,01316254
유바이오로직스,206650,00927558
이지스레지던스리츠,350520,01436628
대주이엔티,114920,00414540
SDN,099220,00574611
와이지엔터테인먼트,122870,00613318
쓰리에이로직스,177900,00870065
유네코,064510,00127699
앤에스,126870,00638539
한국미라클피플사,331660,01363924
엠오티,413390,01563922
한중엔시에스,107640,00474588
미래에셋비전스팩6호,478440,01819867
LG생명과학,068870,00423609
대한제당,001790,00113234
한탑,002680,00140566
대상,001680,00121941
팜스토리,027710,00192499
모아텍,033200,00241209
이지홀딩스,035810,00242378
iMBC,052220,00370006
우성,006980,00142661
스톰테크,352090,01226270
한국공항,005430,00156691
한국쉘석유,002960,00158149
쇼박스,086980,00303794
야스,255440,00875307
씨아이테크,004920,00127158
서호전기,065710,00220622
세실,084450,00446831
신한글로벌액티브리츠,481850,01714997
디지캡,197140,00681373
TS트릴리온,317240,01353024
MDS테크,086960,00445841
신비앤텍,070480,00446479
테크엘,064520,00370255
아모텍,052710,00298447
캐리,313760,00863038
태성,323280,01366000
디비엘,041500,00291152
드림인사이트,362990,01492688
미래에셋비전스팩7호,482680,01841635
비비씨,318410,01153105
진영,285800,00816933
조흥,002600,00149345
쎄트렉아이,099320,00449254
아미코젠,092040,00545734
에스앤디,260970,00560849
해태제과식품,101530,00428321
조이시티,067000,00397252
인피니트헬스케어,071200,00435969
상상인제3호기업인수목적,415580,01604371
대교,019680,00108913
우리은행,000030,00254045
배터리솔루션즈,199870,00929778
셀젠텍,258250,01117918
스튜디오드래곤,253450,01168684
디아이티,110990,00576798
유비벨록스,089850,00592653
동아쏘시오홀딩스,000640,00116824
우리종합금융,010050,00104102
동아에스티,170900,00956930
씨피시스템,413630,01601222
한서제약,044070,00301015
플래닛팔이,057330,00301626
미래반도체,254490,00299844
하이젠알앤엠,160190,00650771
한국맥널티,222980,00579139
선진,136490,00855093
팜스빌,318010,00986898
샘표식품,248170,01167056
크라운제과,264900,01205329
오리온,271560,01238169
하나금융22호기업인수목적,418170,01613281
온코닉테라퓨틱스,476060,01632912
경동나비엔,009450,00101488
남화토건,091590,00108001
남광토건,001260,00107066
한국알콜,017890,00158565
동원산업,006040,00118026
유진기업,023410,00184667
아이즈비전,031310,00200910
에스엘,005850,00125521
SK디스커버리,006120,00131832
코데즈컴바인,047770,00329093
한라IMS,092460,00528515
유화증권,003460,00145190
KB제30호스팩,486630,01851650
대동고려삼,178600,00910202
한국애보트진단,066930,00317089
제이엔케이글로벌,126880,00442154
씨알푸드,236030,01085187
휴럼,353190,01453670
오에스피,368970,01491607
경동제약,011040,00101549
고려제약,014570,00103015
대한약품,023910,00113128
동구바이오제약,006620,00114686
동국제약,086450,00114808
에스엔유프리시젼,080000,00455981
GST,083450,00540863
휴스틸,005010,00156488
휴메딕스,200670,00614478
코스맥스엔비티,222040,00656289
씨이랩,189330,00991298
한창제지,009460,00163761
HMM,011200,00164645
기신정기,092440,00106614
진도,088790,00557933
하스,450330,01663569
메디쎄이,200580,01018617
SCL사이언스,246960,01110182
백산,035150,00122551
한솔로지스틱스,009180,00140946
안국약품,001540,00139205
한컴라이프케어,372910,00534598
비엔디,047940,00329084
씨티앤티,050470,00334493
콜마파마,038710,00334615
지케이파워,054020,00349787
수산아이앤티,050960,00577016
부광약품,003000,00123718
삼성제약,001360,00126414
삼아제약,009300,00126788
신신제약,002800,00136448
신일제약,012790,00137058
영진약품,003520,00141149
유유제약,000220,00144818
유나이티드,033270,00158963
한독,002390,00161046
넥센,005720,00167192
본느,226340,01098792
형지글로벌,308100,01181807
코윈테크,282880,01211232
에스디바이오센서,137310,00854997
한솔테크닉스,004710,00157399
루트로닉,085370,00549925
영진코퍼레이션,053330,00356158
닷밀,464580,01605282
현대약품,004310,00164706
환인제약,016580,00166573
대화제약,067080,00210740
바이넥스,053030,00216027
조아제약,034940,00231831
비씨월드제약,200780,00256043
바스칸바이오제약,354390,00533809
셀트리온제약,068760,00541349
위더스제약,330350,00765851
헬릭스미스,084990,00359395
미래에셋비전기업인수목적1호,412930,01601286
한국타이어앤테크놀로지,161390,00937324
코오롱티슈진,950160,01245062
현대코퍼레이션홀딩스,227840,01108099
인바이츠바이오코아,216400,00537221
피엔케이피부임상연구센타,347740,01290381
코칩,126730,00446901
SK증권제12호스팩,473000,01798722
종근당,185750,00992871
HK이노엔,195940,01012066
제주은행,006220,00148832
대동기어,008830,00109310
포스코엠텍,009520,00128111
서울반도체,046890,00130763
코스맥스비티아이,044820,00219574
태광,023160,00153375
SBI인베스트먼트,019550,00156910
KEC,092220,00589127
코스맥스,192820,01009789
